userID,songID,rating
526,80,1.477121255
1403,54,2.204119983
556,80,1.301029996
1036,54,1.477121255
2352,80,1.301029996
1583,54,1
696,80,1
582,80,1
899,54,1.84509804
1832,80,1.602059991
179,80,1
853,54,1.602059991
156,54,2.51851394
966,80,1.301029996
1092,80,1
2342,80,1
361,80,1.301029996
2151,54,1.77815125
2150,54,1.698970004
1881,80,1.477121255
235,80,1.301029996
2355,80,1
180,80,1
746,80,1.602059991
1386,80,1.301029996
1136,80,1.602059991
1043,80,2.361727836
2400,80,1
502,54,1
3,34,1
1197,80,1
608,34,1
3,54,1.602059991
2299,80,1.301029996
1008,54,2
1006,80,1
1064,80,1
9,54,2.806179974
2125,80,1.698970004
419,80,1.301029996
220,80,1
821,80,1
2281,54,1
392,34,1
598,54,1
1493,54,1
413,80,1.301029996
1862,54,1.77815125
1217,80,1
2387,80,1
1996,34,1
382,54,2.806179974
862,80,1
1182,80,1
1774,80,1
334,54,2.799340549
1354,80,1
19,54,2.041392685
329,80,1.301029996
1497,34,1
2205,54,1
1543,34,2.204119983
1932,54,1
1849,34,1.301029996
169,80,1.301029996
620,34,1
744,80,1.301029996
1228,54,1.301029996
2171,80,1.301029996
1002,80,1
1333,80,1
410,54,2
160,34,2.146128036
913,54,1
615,34,1
452,34,1
925,80,1.301029996
2213,80,1
2361,80,1.301029996
1121,54,1
232,80,1
1083,54,1.602059991
1510,80,1
1076,80,1.301029996
1879,80,1.301029996
1453,80,1.477121255
1859,34,1.602059991
118,54,1.301029996
1345,80,1
828,80,1
1550,80,1
794,54,1
1111,54,1
1722,80,1
1273,54,1
2114,80,1
679,80,1
2101,80,1
964,80,1
972,54,1
1126,54,1.301029996
754,54,1.602059991
1219,54,1.301029996
685,80,1
559,80,1.477121255
818,80,1.602059991
650,54,1.301029996
1299,80,1
1986,34,1
2035,80,1
11,54,2.079181246
330,80,1.301029996
83,54,1.698970004
2277,54,1.301029996
596,54,1
1981,34,2.491361694
2044,80,1.477121255
1489,34,1.477121255
423,80,1.301029996
1,54,2.491361694
2005,54,1
755,80,1.301029996
1491,34,1
1958,80,1.301029996
1953,54,2.556302501
1750,80,1.301029996
1603,54,2.255272505
2337,54,1.954242509
390,34,2
6,54,1.77815125
1736,80,1.301029996
1463,34,1.301029996
1502,80,1.477121255
2348,80,1.77815125
1812,54,1.301029996
1651,80,1.301029996
556,54,1.602059991
36,54,1.84509804
1477,54,1.602059991
601,80,1.77815125
956,54,1.77815125
451,54,2.832508913
274,80,1
1859,80,1
574,80,1
633,54,1
541,54,2.176091259
2311,80,1
451,80,1
2246,80,1.301029996
1600,34,1
2282,54,1.903089987
1522,80,1
1168,34,1
366,34,1.477121255
1131,34,1.602059991
1939,54,2.113943352
169,34,1
1842,80,1.301029996
2251,54,1.301029996
1831,80,1
2386,80,1.477121255
1836,80,1
245,80,1.301029996
56,80,1
670,34,1.301029996
853,80,1.602059991
366,80,1
1910,54,1.77815125
2322,80,1
2142,80,1.301029996
2192,80,1
1216,80,1.301029996
108,54,1.477121255
1440,54,1.77815125
18,54,1.84509804
319,54,1.698970004
1056,54,1.602059991
654,80,1.477121255
40,80,1
1290,80,1
114,80,1.301029996
608,80,1.477121255
1405,80,1.477121255
605,80,1
766,54,2.113943352
1212,54,2.230448921
1444,54,2.491361694
1161,54,1.602059991
1891,80,1.84509804
1104,54,1
279,80,1
1883,80,1
1768,54,1.84509804
2292,54,2.176091259
2224,34,1
385,34,1
1718,80,1
765,54,1.477121255
1512,80,1.301029996
1335,80,1
1985,80,1.602059991
108,80,1.301029996
1839,80,1
1516,80,1
2063,54,1.301029996
1391,34,1
1886,54,2.113943352
1092,54,1.477121255
988,54,1.477121255
2355,54,2.544068044
1237,80,1
1144,80,1.602059991
61,80,1.477121255
634,80,1
249,80,1
1646,54,1
1636,80,1
604,54,1.602059991
1711,80,1.301029996
1181,54,1.84509804
1981,54,2.681241237
721,80,1
71,80,1.602059991
866,80,1.301029996
49,80,1
66,80,1
703,80,1
410,80,1
864,80,1
801,54,2
300,54,2
920,80,1.301029996
388,54,1
1514,54,1.301029996
1045,80,1.477121255
121,80,1.301029996
1079,80,1.301029996
2300,80,1
589,80,1
864,34,1.903089987
1248,80,1.477121255
97,80,1.954242509
2250,80,1
219,80,1
1188,54,2.491361694
302,34,1
503,80,1.301029996
1400,54,2.342422681
2419,54,2.380211242
860,80,1
1649,54,1.301029996
1627,54,1
698,54,2.204119983
1168,80,1
565,80,1
574,157,1
1146,80,1.477121255
1080,80,1
2189,80,1
1798,80,1
1592,80,1
1547,80,1.301029996
538,80,1
356,80,1
670,80,1.602059991
688,80,1
998,80,1
1588,80,1
837,34,1
745,34,1.301029996
658,80,1
1155,80,1
2165,80,1
207,54,2.716003344
677,54,2.176091259
1672,80,1
1212,80,1
1253,80,1.698970004
695,34,1.477121255
73,80,1.301029996
844,80,1
62,54,2.62324929
28,54,2.230448921
1556,80,1.698970004
2336,80,1
818,54,1
605,34,1.301029996
1349,80,1.602059991
2029,54,1.84509804
1019,54,1.301029996
613,80,1.301029996
1887,80,1
909,80,1
2389,80,1
1159,54,1.954242509
1104,80,1.477121255
2009,54,2.255272505
1333,54,2.204119983
183,80,1
1994,80,1
1999,80,1
406,80,1
722,80,1.301029996
382,80,1.301029996
819,80,1.477121255
2001,80,1.301029996
1512,54,2.73239376
713,54,1
1665,131,1
1655,80,1
119,80,1
1577,80,1.477121255
320,80,1
1985,54,2.113943352
1322,80,1
536,80,1
691,80,1
787,80,1.77815125
24,80,1.301029996
1181,157,1
954,80,1
1012,157,1
706,54,2.301029996
1918,80,1.301029996
1615,80,1
1784,80,1.301029996
1387,80,1.477121255
709,54,1
657,54,1.301029996
2360,54,1
1723,54,1.477121255
91,54,2.041392685
1201,54,1.698970004
745,80,1.301029996
783,80,1
762,80,1.477121255
2409,80,1
104,54,1.698970004
1640,34,1
882,80,1.301029996
97,54,1.301029996
2233,80,1
797,80,1.301029996
1370,157,1.301029996
1287,157,1
1777,157,1
1481,157,1
559,157,1.301029996
1407,157,1.301029996
1462,54,1.84509804
737,54,1.77815125
250,157,1
2300,157,1.301029996
251,157,1
1799,157,1.301029996
635,157,1
839,157,1
419,157,1
796,157,1.301029996
1350,80,1.301029996
984,80,1.477121255
2355,34,1
2235,157,1
1905,80,1
1707,54,2.653212514
5,80,1
2272,80,1
1193,80,1
1882,80,1
2306,80,1
1085,54,1.301029996
1227,54,1.84509804
798,54,1
147,80,1.301029996
1996,80,1
806,157,1
1415,54,2.041392685
1390,34,2.748188027
386,54,1.602059991
855,80,1
893,80,1
2398,80,1
2150,157,1.301029996
1241,80,1.477121255
117,80,1.301029996
274,54,2.322219295
1309,80,1.477121255
840,80,1.301029996
2283,80,1.301029996
1906,54,2.380211242
1507,721,1.301029996
1468,721,1
1152,721,1
449,54,1.477121255
2278,80,1
2096,80,1
1486,54,1
1655,54,1.698970004
1090,80,1.301029996
1741,80,1
1358,80,1.477121255
2365,80,1
1275,80,1
832,80,1.301029996
314,80,1.698970004
904,80,1
80,80,1.301029996
1953,80,1.602059991
373,34,1.698970004
1104,34,1.602059991
1428,157,1
1670,157,1.301029996
92,157,1
355,54,1.477121255
613,157,1
983,54,1
2016,54,1
1321,54,1.301029996
2366,54,1.602059991
401,54,2.255272505
592,34,1.301029996
1908,54,1
2258,80,1.602059991
1803,54,1
643,80,1
1639,80,1.602059991
381,80,1.602059991
813,80,1.698970004
659,80,1.301029996
2320,80,1
1972,80,1.602059991
709,80,1.602059991
950,80,1.602059991
2009,80,1
149,80,1.301029996
1734,34,1.477121255
1639,34,1
573,34,1.903089987
359,54,1.301029996
1693,80,1.301029996
2239,80,1.301029996
1517,157,1.301029996
2288,80,1
1115,157,1.698970004
23,157,1
256,80,1
29,80,1
1179,80,1
668,80,1
1886,80,1
1846,34,1.301029996
86,80,1.301029996
1832,54,2.86923172
1923,157,1
977,54,2
403,54,1.698970004
1140,54,1.602059991
1101,80,1.301029996
2346,34,1.77815125
1326,34,1.77815125
18,34,1.698970004
1844,54,1.77815125
2367,80,1
602,80,1.84509804
58,80,1.301029996
1970,80,1
1486,80,1
235,54,1.301029996
613,54,1.954242509
1685,54,1.301029996
1144,54,2.079181246
355,157,1
968,157,1
2224,157,1.698970004
1590,721,1.602059991
1676,80,1
1090,157,1
2315,157,1.301029996
119,157,1
755,157,1
329,157,1
709,157,1
1338,80,1
1692,157,1
2235,80,1.602059991
1377,80,1.301029996
713,80,1.301029996
661,157,1
1934,157,1
1068,80,1
2123,80,1
1993,80,1.698970004
1814,721,1
52,54,2.255272505
589,157,1
28,80,1
2292,34,1.301029996
817,54,2.041392685
93,80,1
2044,157,1
2163,54,1
179,34,1.477121255
910,80,1
83,80,1.301029996
162,80,1
2003,80,1.602059991
2118,80,1
2373,54,1.301029996
21,80,1.301029996
938,54,1.477121255
23,54,1.477121255
1682,80,1
2163,80,1.301029996
358,80,1.477121255
638,721,1
1741,721,1
1320,721,1
701,80,1.477121255
672,80,1.477121255
78,54,1.301029996
2152,54,1
2085,80,1
1821,80,1
77,80,1
1036,80,1.301029996
1590,54,1
2042,54,1.84509804
1544,54,1.301029996
149,54,2
1497,54,2.041392685
905,80,1
415,80,1.301029996
1852,34,1.77815125
732,721,1
1728,54,1
602,54,1
1147,80,1
529,80,1
1382,721,1
1301,721,1
261,721,1
21,54,2
1695,54,1
1291,54,1.698970004
875,54,1.698970004
1513,54,1.301029996
942,54,1.698970004
2076,54,1
1438,80,1
1776,80,1.301029996
2234,80,1.477121255
620,80,1
295,80,1.301029996
1730,80,1
1430,54,1.477121255
429,54,1.77815125
1405,54,1.602059991
1351,54,1
1842,54,1
879,80,1
1413,80,1.301029996
300,80,1.698970004
1083,80,1
1911,80,1
1196,80,1
31,80,1.602059991
1171,80,1.77815125
308,80,1
2015,80,1
2258,54,2.72427587
1664,54,1.698970004
2023,80,1
1725,34,1.698970004
2325,34,1.954242509
1147,721,1
945,80,1
660,34,1
1679,80,1.477121255
1722,34,1.301029996
752,80,1.477121255
1012,80,1.301029996
1336,80,1
356,34,1
1620,34,1
1892,80,1
1282,80,1.301029996
390,80,1.77815125
1939,80,1.301029996
1689,80,1.477121255
1000,80,1
89,80,1
351,80,1
1623,54,2.568201724
353,34,1
2330,80,1.301029996
754,80,1
1389,721,1
743,157,1
2198,721,1
1458,721,1
293,721,1.301029996
420,721,1.301029996
1897,721,1
1994,157,1
2000,721,1
1746,721,1
2264,721,1
1516,34,1.602059991
2037,34,1.903089987
1588,54,2.505149978
783,157,1
1841,157,1
2418,80,1.477121255
2238,34,1
1199,34,1.954242509
1428,34,1
1999,34,1
2059,80,1
1871,80,1
1159,80,1.301029996
827,80,1.301029996
2294,157,1
436,80,1
1934,80,1.602059991
1239,80,1.602059991
2204,34,1.903089987
1191,34,1.301029996
2292,80,1
626,80,1
2181,54,2.255272505
1454,80,1
629,80,1
1583,34,1.301029996
2059,34,1.301029996
1592,34,1
2212,34,1
1457,34,1.301029996
1286,34,1
697,721,1
25,721,1.477121255
1650,721,1
775,54,1.77815125
2263,34,1.84509804
537,80,1
305,80,1
1838,80,1.301029996
752,34,2.278753601
1853,54,1.84509804
351,54,1.698970004
2364,54,2.462397998
71,54,1.301029996
1833,80,1
77,54,1.602059991
938,80,1.477121255
381,34,1.301029996
582,34,1.477121255
2089,34,1.301029996
1031,80,1.602059991
1913,721,1
692,54,2.041392685
1457,54,2.146128036
2388,80,1.301029996
2188,721,1
385,80,1.301029996
2115,34,2.431363764
1698,34,1
797,34,1
582,54,1
186,54,1.301029996
251,54,2.544068044
1888,54,1.698970004
1675,54,1.301029996
881,80,1.301029996
1976,80,1.301029996
331,80,1.477121255
1922,80,1
592,54,2.041392685
925,34,1
93,34,1.301029996
196,80,1.477121255
2351,80,1.301029996
688,157,1
1976,157,1
782,721,1
339,721,1
238,721,1.301029996
1962,721,1
1823,721,1
345,157,1
1045,157,1
785,721,2.361727836
2001,54,1.602059991
1294,54,2.431363764
1084,54,1.698970004
671,80,1
2113,80,1.301029996
1404,80,1
212,80,1.77815125
533,80,1
772,80,1.301029996
2353,80,1.301029996
1515,80,1
1148,80,1
1008,80,1.301029996
1739,80,1
1286,80,1.301029996
802,721,1.301029996
445,721,1
1801,721,1
2157,721,1
271,721,1
1057,721,1.301029996
123,721,1
429,721,1
967,721,1
1658,721,1
492,721,1
1865,721,1
1849,54,1
1833,721,1
345,54,2.556302501
2155,54,2.380211242
1889,721,1.477121255
1097,721,1.477121255
1047,721,1
925,54,2.230448921
1388,721,1.301029996
1394,54,1.698970004
2123,157,1
515,80,1.602059991
1287,80,1.77815125
2315,80,2.278753601
